completed_index,optuna_trial_number,request_throughput,output_token_throughput,ttft_p50,ttft_p95,ttft_p99,tpot_p50,tpot_p95,tpot_p99,e2e_p50,e2e_p95,e2e_p99,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,moe_runner_backend,attention_backend,disable_cuda_graph,server_startup_s,benchmark_wall_s,config_hash,result_path
12,12,19.659379971945867,5032.801272818142,167.074,172.965,173.171,5.675,5.681,5.824,1613.517,1616.073,1616.709,64,-1,fcfs,0.8,triton,fa3,False,28.0,1.6277217310853302,eafbffcac540adc7,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0012/bench_serving.jsonl
13,13,19.207480162578236,4917.114921620028,180.63,213.535,213.62,5.776,6.085,6.186,1653.963,1656.866,1657.774,96,2048,lpm,0.75,triton,fa3,False,28.0,1.6660175998695195,cf5c1252e6588937,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0013/bench_serving.jsonl
14,14,19.566164701383308,5008.938163554127,176.142,180.884,181.035,5.674,5.678,5.823,1622.213,1625.015,1625.414,32,8192,lpm,0.85,triton,fa3,False,28.0,1.635476368945092,af2449eab8dcded9,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0014/bench_serving.jsonl
15,15,19.52173107557204,4997.563155346442,180.688,182.303,182.731,5.662,5.668,5.805,1624.081,1627.961,1628.265,48,-1,fcfs,0.8,triton,fa3,False,28.0,1.6391988946124911,d71c51b21e15839b,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0015/bench_serving.jsonl
16,16,19.23737606881857,4924.768273617554,175.373,206.033,206.136,5.78,6.079,6.17,1649.384,1651.613,1652.034,128,2048,fcfs,0.8,triton,fa3,False,28.0,1.6634285198524594,4630fda94aa6fa69,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0016/bench_serving.jsonl
17,17,19.573526606191685,5010.822811185071,174.71,176.203,176.381,5.665,5.709,5.9,1619.293,1622.582,1622.774,128,-1,fcfs,0.9,triton,fa3,False,28.0,1.634861241094768,dc88833473128a3e,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0017/bench_serving.jsonl
18,18,19.640710348853684,5028.021849306543,167.673,169.385,169.686,5.681,5.686,5.807,1615.95,1619.055,1619.622,128,8192,fcfs,0.9,triton,fa3,False,28.0,1.6292689740657806,5ba73db267a2650a,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0018/bench_serving.jsonl
19,19,19.537175008140416,5001.5168020839465,181.239,183.4,183.514,5.666,5.672,5.796,1626.066,1628.386,1629.154,96,-1,lpm,0.75,triton,fa3,False,25.0,1.637903125025332,16e099da709b4cd4,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0019/bench_serving.jsonl
20,20,19.574867883917978,5011.166178283002,169.081,175.542,175.68,5.689,5.697,5.861,1619.315,1621.276,1621.637,64,8192,fcfs,0.85,triton,fa3,False,25.0,1.6347492197528481,c877bcef65ee9576,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0020/bench_serving.jsonl
21,23,19.35358847731109,4954.518650191639,173.136,201.531,201.7,5.753,6.021,6.119,1640.505,1642.297,1643.121,64,2048,lpm,0.85,triton,fa3,False,28.0,1.653440137859434,8ffbc017fc80ab18,/home/t-jialianggu/work/EndtoEnd-auto-optimization/results/2026-07-22_lfm25_plateau_100/trial_0021/bench_serving.jsonl
