index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
176,30729.372,57.76,1.152,5,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
177,30788.284,225.633,4.16,5,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
178,31018.077,174.337,-0.16,5,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
179,31192.254,61.824,1.184,5,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
180,31255.262,20.192,1.216,5,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
181,31276.67,3.04,0.992,5,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
182,31280.702,14.976,1.12,5,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
183,31296.798,30.784,1.024,5,moe_count_sort,moe_count_sort,count_and_sort_expert_tokens_kernel,250,256,
184,31328.606,3182.282,1.376,5,moe_up,fused_moe,fused_moe_kernel,57848,128,
185,34512.264,155.04,2.176,5,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
186,34669.48,1597.957,1.248,5,moe_down,fused_moe,fused_moe_kernel,33056,128,
187,36268.685,76.16,0.288,5,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
188,36345.133,61.856,4.48,6,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
189,36411.469,258.305,1.12,6,attn_qkv_proj,gemm,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT,2,384,
190,36670.894,77.344,-0.128,6,attn_q_layout_copy,copy_bf16,elementwise_kernel,64000,128,
191,36748.11,617.282,1.312,6,attn_q_norm,rmsnorm,RMSNormKernel,512000,32,
192,37366.704,21.344,-0.128,6,attn_k_layout_copy,copy_bf16,elementwise_kernel,16000,128,
193,37387.92,155.809,2.24,6,attn_k_norm,rmsnorm,RMSNormKernel,128000,32,
194,37545.969,55.456,-0.128,6,attn_rope,rope,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,1000,8,
195,37601.297,15.84,1.28,6,attn_store_kv,store_kv,store_kvcache,8000,128,
196,37618.417,3.36,-0.224,6,attn_prepare,attention_prepare,prepare_varlen_num_blocks_kernel,1,32,
197,37621.553,605.89,4.448,6,attn_kernel,attention,device_kernel,132,512,
198,38231.891,174.176,-0.128,6,attn_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
199,38405.939,62.4,1.216,6,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
200,38469.555,20.608,1.984,6,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
201,38492.147,3.105,1.056,6,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
202,38496.308,14.848,1.056,6,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
