index,start_us,duration_us,gap_to_next_activity_us,activity,name,bytes,kernel_index
229,31011.805,0.96,1.792,memcpy,memcpy_kind_8,16,
230,31014.557,0.736,49.344,memcpy,memcpy_kind_1,4,
231,31064.637,1.248,28.48,kernel,copy_int,0,175
232,31094.365,57.76,1.152,kernel,conv_fwd,0,176
233,31153.277,225.633,1.76,kernel,mul,0,177
234,31380.67,0.8,1.6,memset,memset,4,
235,31383.07,174.337,-0.16,kernel,gemm,0,178
236,31557.247,61.824,1.184,kernel,fused_add_rmsnorm,0,179
237,31620.255,20.192,1.216,kernel,gemm,0,180
238,31641.663,3.04,0.992,kernel,topk_sigmoid,0,181
239,31645.695,14.976,1.12,kernel,moe_align,0,182
240,31661.791,30.784,1.024,kernel,moe_count_sort,0,183
241,31693.599,3182.282,1.376,kernel,fused_moe,0,184
242,34877.257,155.04,2.176,kernel,act_and_mul,0,185
243,35034.473,1597.957,1.248,kernel,fused_moe,0,186
244,36633.678,76.16,0.288,kernel,moe_sum,0,187
245,36710.126,61.856,1.632,kernel,fused_add_rmsnorm,0,188
246,36773.614,0.8,2.048,memset,memset,4,
247,36776.462,258.305,1.12,kernel,gemm,0,189
248,37035.887,77.344,-0.128,kernel,copy_bf16,0,190
249,37113.103,617.282,1.312,kernel,rmsnorm,0,191
250,37731.697,21.344,-0.128,kernel,copy_bf16,0,192
251,37752.913,155.809,2.24,kernel,rmsnorm,0,193
252,37910.962,55.456,-0.128,kernel,rope,0,194
253,37966.29,15.84,1.28,kernel,store_kv,0,195
