model,tokens,M,config_key,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,median_ms,p95_ms,std_ms,default_ms,speedup,max_abs_err
lfm25,64,256,bm16_bn64_bk128_gm32_w8_s4,16,64,128,32,8,4,0.20371200144290924,0.20374399423599243,7.184116543878374e-05,0.28940799832344055,1.4206723034162905,0.0
lfm25,64,256,bm16_bn128_bk64_gm16_w4_s2,16,128,64,16,4,2,0.20374399423599243,0.20380799472332,8.586566420626291e-05,0.28940799832344055,1.4204492230982046,0.0
lfm25,64,256,bm16_bn64_bk64_gm32_w8_s5,16,64,64,32,8,5,0.20374399423599243,0.20387199521064758,8.913936821227325e-05,0.28940799832344055,1.4204492230982046,0.0
lfm25,64,256,bm32_bn256_bk64_gm1_w8_s3,32,256,64,1,8,3,0.20377600193023682,0.20387199521064758,5.354486849105214e-05,0.28940799832344055,1.4202261089729302,0.0
lfm25,64,256,bm16_bn32_bk64_gm32_w4_s5,16,32,64,32,4,5,0.20380799472332,0.20396800339221954,0.00016491737251764124,0.28940799832344055,1.4200031687487382,0.0
lfm25,64,256,bm32_bn256_bk64_gm32_w8_s3,32,256,64,32,8,3,0.2038400024175644,0.20390400290489197,8.490871224056104e-05,0.28940799832344055,1.419780194716594,0.0
lfm25,64,256,bm16_bn32_bk256_gm1_w4_s4,16,32,256,1,4,4,0.20403200387954712,0.20416000485420227,0.0001698124822923713,0.28940799832344055,1.418444130433068,0.0
lfm25,64,256,bm16_bn64_bk256_gm16_w8_s3,16,64,256,16,8,3,0.20419199764728546,0.20611199736595154,0.0007992563967205228,0.28940799832344055,1.4173327145922456,0.0
lfm25,64,256,bm32_bn64_bk64_gm1_w4_s5,32,64,64,1,4,5,0.20419199764728546,0.20428800582885742,0.0001173166195362698,0.28940799832344055,1.4173327145922456,0.0
lfm25,64,256,bm16_bn32_bk256_gm32_w4_s4,16,32,256,32,4,4,0.20422400534152985,0.20448000729084015,0.00016689456668617306,0.28940799832344055,1.41711057835466,0.0
lfm25,64,256,bm16_bn128_bk128_gm1_w8_s5,16,128,128,1,8,5,0.20425599813461304,0.20467199385166168,0.000190283019265348,0.28940799832344055,1.4168886151030378,0.0
lfm25,64,256,bm16_bn128_bk64_gm1_w8_s4,16,128,64,1,8,4,0.204352006316185,0.20537599921226501,0.0007312251480934681,0.28940799832344055,1.416222935808382,0.0
lfm25,64,256,bm32_bn256_bk128_gm32_w4_s2,32,256,128,32,4,2,0.2043839991092682,0.20441600680351257,7.679983978924136e-05,0.28940799832344055,1.4160012505123587,0.0
lfm25,64,256,bm32_bn128_bk64_gm1_w4_s5,32,128,64,1,4,5,0.20441600680351257,0.20467199385166168,0.0001082311206562145,0.28940799832344055,1.415779531402467,0.0
lfm25,64,256,bm32_bn256_bk64_gm16_w8_s3,32,256,64,16,8,3,0.20457600057125092,0.20476800203323364,0.00011158746617639508,0.28940799832344055,1.4146722856801761,0.0
