model,workload,config_id,hash,cls
lfm25,R_medium_balanced,80,cap32_chunk2048_pollpm_mem0.75,REGRESSION
lfm25,R_medium_balanced,81,cap32_chunk2048_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,82,cap32_chunk2048_pollpm_mem0.85,REGRESSION
lfm25,R_medium_balanced,83,cap32_chunk2048_pollpm_mem0.9,REGRESSION
lfm25,R_medium_balanced,84,cap32_chunk2048_polfcfs_mem0.75,REGRESSION
lfm25,R_medium_balanced,85,cap32_chunk2048_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,86,cap32_chunk2048_polfcfs_mem0.85,REGRESSION
lfm25,R_medium_balanced,87,cap32_chunk2048_polfcfs_mem0.9,REGRESSION
lfm25,R_medium_balanced,88,cap32_chunk8192_pollpm_mem0.75,REGRESSION
lfm25,R_medium_balanced,89,cap32_chunk8192_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,90,cap32_chunk8192_pollpm_mem0.85,REGRESSION
lfm25,R_medium_balanced,91,cap32_chunk8192_pollpm_mem0.9,REGRESSION
lfm25,R_medium_balanced,92,cap32_chunk8192_polfcfs_mem0.75,REGRESSION
lfm25,R_medium_balanced,93,cap32_chunk8192_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,94,cap32_chunk8192_polfcfs_mem0.85,REGRESSION
lfm25,R_medium_balanced,95,cap32_chunk8192_polfcfs_mem0.9,REGRESSION
lfm25,R_medium_balanced,96,cap48_chunk-1_pollpm_mem0.75,REGRESSION
lfm25,R_medium_balanced,97,cap48_chunk-1_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,98,cap48_chunk-1_pollpm_mem0.85,WIN
lfm25,R_medium_balanced,99,cap48_chunk-1_pollpm_mem0.9,REGRESSION
lfm25,R_medium_balanced,100,cap48_chunk-1_polfcfs_mem0.75,REGRESSION
lfm25,R_medium_balanced,101,cap48_chunk-1_polfcfs_mem0.8,WIN
lfm25,R_medium_balanced,102,cap48_chunk-1_polfcfs_mem0.85,REGRESSION
lfm25,R_medium_balanced,103,cap48_chunk-1_polfcfs_mem0.9,FLAT
lfm25,R_medium_balanced,104,cap48_chunk2048_pollpm_mem0.75,REGRESSION
